Date	Daily minimum temperature	Daily maximum temperature	Maximum steady wind	Maximum wind gust	Total daily precipitation	Snow depth	Pressure	Icon	Description
1/6/16	14¡F	42¡F	9 Mph	N/A	0in	N/A	1033.2mb		weather events not reported
1/7/16	23¡F	48¡F	6 Mph	N/A	0in	N/A	1025.2mb		weather events not reported
1/8/16	32¡F	42¡F	5 Mph	N/A	0in	N/A	1020.4mb		weather events not reported
1/9/16	39¡F	45¡F	9 Mph	N/A	0.12in	N/A	1015.5mb		Rain
1/10/16	46¡F	48¡F	17 Mph	28 Mph	0.08in	N/A	1008.5mb		Rain
1/11/16	20¡F	30¡F	24 Mph	37 Mph	0.65in	N/A	1011.8mb		Snowfall
1/12/16	20¡F	29¡F	15 Mph	23 Mph	0in	N/A	1013.4mb		Snowfall
1/13/16	6¡F	32¡F	23 Mph	30 Mph	0.05in	N/A	1020.7mb		Snowfall
1/14/16	19¡F	22¡F	10 Mph	N/A	0in	N/A	1015.5mb		Snowfall
1/15/16	42¡F	44¡F	N/A	N/A	0in	N/A	1011.4mb		weather events not reported
1/16/16	42¡F	48¡F	15 Mph	N/A	0.13in	N/A	998.7mb		Rain
1/17/16	32¡F	33¡F	10 Mph	N/A	0.06in	N/A	1012.2mb		weather events not reported
1/18/16	10¡F	26¡F	20 Mph	31 Mph	0in	N/A	N/A		Snowfall
1/19/16	10¡F	11¡F	16 Mph	22 Mph	0in	N/A	1024.5mb		Snowfall
1/20/16	12¡F	15¡F	8 Mph	N/A	0in	N/A	1032.5mb		weather events not reported
1/21/16	14¡F	20¡F	N/A	17 Mph	0.03in	N/A	N/A		Snowfall
1/22/16	19¡F	22¡F	5 Mph	N/A	0in	N/A	1027.9mb		weather events not reported
1/23/16	19¡F	20¡F	N/A	21 Mph	0.16in	N/A	1015.7mb		Fog
									Snowfall
1/24/16	16¡F	24¡F	14 Mph	18 Mph	0.33in	N/A	1017.4mb		weather events not reported
1/25/16	20¡F	27¡F	7 Mph	N/A	0in	N/A	1020.9mb		weather events not reported
1/26/16	38¡F	44¡F	14 Mph	N/A	0in	N/A	1016.9mb		weather events not reported
1/27/16	33¡F	36¡F	N/A	21 Mph	0.02in	N/A	1019.3mb		weather events not reported
1/28/16	24¡F	28¡F	8 Mph	N/A	0in	N/A	1020.0mb		weather events not reported
1/29/16	35¡F	39¡F	16 Mph	21 Mph	0in	N/A	1003.8mb		Snowfall
1/30/16	22¡F	26¡F	8 Mph	N/A	0.02in	N/A	1017.0mb		weather events not reported
1/31/16	49¡F	50¡F	13 Mph	N/A	0in	N/A	1010.9mb		weather events not reported
12/1/15	44¡F	58¡F	14 Mph	N/A	0.13in	N/A	1016.3mb		Fog
									Rain
12/2/15	45¡F	59¡F	N/A	18 Mph	0.48in	N/A	1010.0mb		Rain
12/3/15	34¡F	52¡F	15 Mph	25 Mph	0.28in	N/A	1018.2mb		Snowfall
									Rain
12/4/15	34¡F	47¡F	13 Mph	N/A	0in	N/A	1032.7mb		weather events not reported
12/5/15	27¡F	50¡F	7 Mph	N/A	0in	N/A	1038.1mb		weather events not reported
12/6/15	26¡F	50¡F	6 Mph	N/A	0in	N/A	1033.6mb		weather events not reported
12/7/15	26¡F	50¡F	8 Mph	N/A	0in	N/A	1023.8mb		weather events not reported
12/8/15	29¡F	50¡F	9 Mph	N/A	0in	N/A	1020.9mb		weather events not reported
12/9/15	33¡F	57¡F	N/A	22 Mph	0in	N/A	1016.0mb		weather events not reported
12/10/15	33¡F	58¡F	13 Mph	17 Mph	0.01in	N/A	1013.3mb		Rain
12/11/15	48¡F	51¡F	10 Mph	N/A	0in	N/A	1009.9mb		weather events not reported
